property,ID,property_id,active_property,room_type,hotel_name,link,room_id,lastcheck
34,7228,848,Residence Inn Marriott,1 Bd,Residence Inn 1bd,https://www.expedia.com/Branson-Hotels-Residence-Inn-By-Marriott-Branson.h403.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=Residence+Inn+by+Marriott+Branson&&exp_dp=119&exp_ts=1522852604047&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,140544,
,7225,848,Residence Inn Marriott,Studio,Residence Inn Studio,,140546,TRUE
35,10151,650,Scenic Hills Inn,King Room,Scenic Hills Inn King ,https://www.expedia.com/Branson-Hotels-Scenic-Hills-Inn.h1695571.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=Scenic+Hills+Inn&&exp_dp=51.34&exp_ts=1522852628507&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,,
,4314,650,Scenic Hills Inn,King Room,Scenic Hills Inn King Handicap,,,
,7201,650,Scenic Hills Inn,King Jac,Scenic Hills Inn King Jacuzzi,,,
,7202,650,Scenic Hills Inn,Leisure Suite,Scenic Hills Inn King w/Recliner or Sofa,,200360153,
,4311,650,Scenic Hills Inn,QQ Room ,Scenic Hills Inn QQ,,200360136,TRUE
36,4328,787,Still Waters Resort,1 Bd 1600,Still Waters 1Bd 1600 Kg,https://www.expedia.com/Branson-Hotels-Still-Waters-Resort.h425339.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=Still+Waters+Resort&,,
,4326,787,Still Waters Resort,1 Bd 1700,Still Waters 1Bd 1700 Kg,,,
,4329,787,Still Waters Resort,2 Bd 2000  ,Still Waters 2Bd 2000 1K/2Q,,,
,4334,787,Still Waters Resort,2 Bedrm 2500,Still Waters 2Bd 2500 1K/2Q LkFt,,,
,4336,787,Still Waters Resort,3 Bedrm 3600,Still Waters 3Bd 3600 1K4Q,,,
,4324,787,Still Waters Resort,QQ 050,Still Waters Motel 50 QQ,,,TRUE
37,9952,782,Stone Castle Hotel,Family Suite,Stone Castle Hotel 1K/2Q Family Suite,https://www.expedia.com/Branson-Hotels-The-Stone-Castle-Hotel-Conference-Center.h120196.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=stone+castle&&exp_dp=63.2&exp_ts=1522852692372&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,,
,9670,782,Stone Castle Hotel,King Room,Stone Castle Hotel K,,200039425,
,10014,782,Stone Castle Hotel,Single Q,Stone Castle Hotel Q,,377238,
,7409,782,Stone Castle Hotel,Single Q,Stone Castle Hotel Q Handi,,,
,4391,782,Stone Castle Hotel,QQ ,Stone Castle Hotel QQ,,49804,
,4392,782,Stone Castle Hotel,King Jac Room,Stone Castle Jacuzzi Themed King Room,,440168,
,7074,782,Stone Castle Hotel,King Jac Suite,Stone Castle K Jacuzzi  Themed Suite,,,TRUE
38,10011,883,Welk Resort,QQ ,Welk QQ + Brkfst (2Ad) No Splash,https://www.expedia.com/Branson-Hotels-Welk-Resorts-Branson-Hotel.h22730.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=Welk+Resorts+Branson+Hotel&&exp_dp=59&exp_ts=1522852712020&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,177854,
,10201,883,Welk Resort,QQ ,Welk QQ + Brkfst (2Ad) w/ Splash,,32574,
,7458,883,Welk Resort,QQ ,Welk Resort QQ w Splash,,,
,10000,883,Welk Resort,QQ ,Welk Resort QQ w/out Splash,,,TRUE
